,precision,recall,f1-score,support
support,0.17964071856287425,0.3191489361702128,0.22988505747126436,94.0
deny,0.16326530612244897,0.4507042253521127,0.2397003745318352,71.0
query,0.43410852713178294,0.5283018867924528,0.4765957446808511,106.0
comment,0.7953321364452424,0.5694087403598972,0.6636704119850187,778.0
accuracy,0.5347950428979981,0.5347950428979981,0.5347950428979981,0.5347950428979981
macro avg,0.3930866720655871,0.46689094716866886,0.4024628971672424,1049.0
weighted avg,0.660878904013319,0.5347950428979981,0.5771998583933021,1049.0
