,precision,recall,f1-score,support
support,0.1534090909090909,0.574468085106383,0.242152466367713,94.0
deny,0.168,0.29577464788732394,0.21428571428571427,71.0
query,0.24507042253521127,0.8207547169811321,0.3774403470715835,106.0
comment,0.8617511520737328,0.2403598971722365,0.3758793969849246,778.0
accuracy,0.332697807435653,0.332697807435653,0.332697807435653,0.332697807435653
macro avg,0.35705766637950875,0.4828393367867689,0.30243948117748387,1049.0
weighted avg,0.6890069739252154,0.332697807435653,0.35311674470611054,1049.0
