,precision,recall,f1-score,support
support,0.25,0.031914893617021274,0.05660377358490566,94.0
deny,0.13043478260869565,0.7183098591549296,0.22077922077922077,71.0
query,0.15336463223787167,0.9245283018867925,0.26308724832214764,106.0
comment,1.0,0.008997429305912597,0.017834394904458598,778.0
accuracy,0.1515729265967588,0.1515729265967588,0.1515729265967588,0.1515729265967588
macro avg,0.38344985371164186,0.42093762099116394,0.13957615939768317,1049.0
weighted avg,0.7883865782482666,0.1515729265967588,0.05982696563405362,1049.0
