,precision,recall,f1-score,support
support,0.11873350923482849,0.4787234042553192,0.19027484143763213,94.0
deny,0.17695473251028807,0.6056338028169014,0.27388535031847133,71.0
query,0.4171779141104294,0.6415094339622641,0.5055762081784386,106.0
comment,0.8409090909090909,0.2853470437017995,0.42610364683301344,778.0
accuracy,0.3603431839847474,0.3603431839847474,0.3603431839847474,0.3603431839847474
macro avg,0.38844381169115927,0.502803421184071,0.3489600116918889,1049.0
weighted avg,0.6884393398467898,0.3603431839847474,0.4026991518310275,1049.0
