strategy,n_per_class,macro_f1,support_f1,deny_f1,query_f1,comment_f1
diverse,1,0.4259890465627803,0.44329896907216493,0.47619047619047616,0.39316239316239315,0.391304347826087
diverse,2,0.3674953310546531,0.4307692307692308,0.2,0.43243243243243246,0.4067796610169492
diverse,3,0.3820910225515515,0.387434554973822,0.34782608695652173,0.39655172413793105,0.39655172413793105
same_src,1,0.2898887120028836,0.2926829268292683,0.2857142857142857,0.325,0.2561576354679803
same_src,2,0.2837319132991295,0.3132530120481928,0.2727272727272727,0.32894736842105265,0.22
same_src,3,0.2974478169720171,0.33540372670807456,0.34285714285714286,0.2893081761006289,0.2222222222222222
random,1,0.3364760384867664,0.31952662721893493,0.35294117647058826,0.31788079470198677,0.35555555555555557
random,2,0.3507358156028369,0.375,0.3,0.3546099290780142,0.37333333333333335
random,3,0.3625211219029533,0.4245810055865922,0.2857142857142857,0.3484848484848485,0.391304347826087
