,precision,recall,f1-score,support
support,0.26506024096385544,0.46808510638297873,0.3384615384615385,94.0
deny,0.24456521739130435,0.6338028169014085,0.35294117647058826,71.0
query,0.680327868852459,0.7830188679245284,0.7280701754385965,106.0
comment,0.9046793760831889,0.6709511568123393,0.770479704797048,778.0
accuracy,0.661582459485224,0.661582459485224,0.661582459485224,0.661582459485224
macro avg,0.5236581758227019,0.6389644870053137,0.5474881487919427,1049.0
weighted avg,0.7800143963550683,0.661582459485224,0.6992210267620504,1049.0
