,precision,recall,f1-score,support
support,0.45977011494252873,0.425531914893617,0.4419889502762431,94.0
deny,0.3185840707964602,0.5070422535211268,0.391304347826087,71.0
query,0.6666666666666666,0.8301886792452831,0.7394957983193278,106.0
comment,0.8842398884239888,0.8149100257069408,0.8481605351170568,778.0
accuracy,0.7607244995233555,0.7607244995233555,0.7607244995233555,0.7607244995233555
macro avg,0.5823151852074111,0.644418218341742,0.6052374078846786,1049.0
weighted avg,0.785932468724191,0.7607244995233555,0.7698617931025148,1049.0
